Timestamp,Which of the following would you like to see discussed at a future meetup:,I am currently employed as a:,Years experience in full-time front end development work:,My current salary is:,I work for:,"In your job, which of the following do you use regularly:"
5/21/2014 17:15:06,"WebGL, Angular.js, Node.js",Front End Developer,<1 years,"$50,000 - $80,000",A Large Non-web company (50+ Employees),"JavaScript, jQuery, SVG, D3.js"
5/21/2014 17:40:07,"JavaScript Best Practicies, jQuery, Sass, HTML5 Canvas, SVG, Angular.js, Responsive Design",Looking for a Job,5+ years,"$50,000 - $80,000",Myself,"JavaScript, jQuery, Sass, HTML5 Canvas, Responsive Design"
5/21/2014 18:23:59,"JavaScript Best Practicies, Sass, Backbone.js, Angular.js",Looking for a Job,1-2 years,"$10,000 - $30,000",Myself,"jQuery, Responsive Design"
5/21/2014 18:51:54,"JavaScript Best Practicies, CoffeeScript, jQuery, Sass, LESS, HTML5 Canvas, SVG, WebGL, WebRTC, Backbone.js, Angular.js, Ember.js, Node.js, D3.js, Responsive Design",Looking for a Job,1-2 years,"$10,000 - $30,000",Myself,HTML5 Canvas
5/21/2014 19:00:24,"JavaScript Best Practicies, jQuery, Responsive Design",Looking for a Job,<1 years,"$10,000 - $30,000",Myself,
5/21/2014 19:02:02,"JavaScript Best Practicies, jQuery, Sass, HTML5 Canvas, Angular.js, Responsive Design",Looking for a Job,<1 years,,,
5/21/2014 20:39:36,"Sass, SVG, Angular.js",Front End Developer,5+ years,"$100,000 - $130,000",A Large Non-web company (50+ Employees),"JavaScript, Less, Angular.js, Responsive Design"
5/21/2014 20:56:41,"JavaScript Best Practicies, Sass, HTML5 Canvas, SVG, Backbone.js, Angular.js, Ember.js, D3.js",Full-stack Developer,5+ years,"$130,000+",A Large Non-web company (50+ Employees),"JavaScript, jQuery, Backbone.js"
5/21/2014 23:23:31,"CoffeeScript, HTML5 Canvas, WebGL, WebRTC",Full-stack Developer,5+ years,,A Large Non-web company (50+ Employees),"JavaScript, jQuery, Sass, Angular.js, D3.js, Jasmine"
5/22/2014 6:17:59,"JavaScript Best Practicies, Sass, Node.js, Responsive Design",Front End Developer,5+ years,"$50,000 - $80,000",A Large Web Company (50+ Employees),"JavaScript, jQuery, Responsive Design"
5/22/2014 6:59:55,"JavaScript Best Practicies, Sass, SVG, Angular.js",Designer / Developer,1-2 years,"$30,000 - $50,000",Myself,"jQuery, Sass, Responsive Design"
5/22/2014 7:04:58,"JavaScript Best Practicies, Sass, LESS, HTML5 Canvas, WebRTC, Backbone.js, Ember.js, D3.js",Front End Developer,2-5 years,"$100,000 - $130,000",A Web Startup,"JavaScript, jQuery, Less, HTML5 Canvas, Backbone.js"
5/22/2014 8:25:02,"JavaScript Best Practicies, CoffeeScript, Angular.js, Ember.js",Full-stack Developer,5+ years,"$100,000 - $130,000",A Large Web Company (50+ Employees),"JavaScript, jQuery, Less, Angular.js, Node.js, Responsive Design"
5/22/2014 8:27:18,"JavaScript Best Practicies, Sass, LESS, HTML5 Canvas, SVG, WebGL, WebRTC, Backbone.js, Angular.js",Full-stack Developer,<1 years,"$50,000 - $80,000",A Web Startup,"JavaScript, jQuery, Sass"
5/22/2014 8:51:20,"JavaScript Best Practicies, Sass, SVG, WebGL, Angular.js, Node.js, Responsive Design",Front End Developer,1-2 years,"$50,000 - $80,000",A Large Web Company (50+ Employees),"JavaScript, jQuery, Sass, SVG, WebGL, Responsive Design"
5/22/2014 9:50:16,"JavaScript Best Practicies, jQuery, HTML5 Canvas, Angular.js, Node.js",Full-stack Developer,5+ years,"$130,000+",A Large Web Company (50+ Employees),"JavaScript, jQuery, Angular.js"
5/22/2014 10:28:58,"JavaScript Best Practicies, jQuery, Sass, SVG",Looking for a Job,<1 years,"$30,000 - $50,000",Myself,
5/22/2014 11:12:23,"JavaScript Best Practicies, Angular.js, Node.js, D3.js, Responsive Design",Designer / Developer,5+ years,"$130,000+",A Large Non-web company (50+ Employees),JavaScript
5/22/2014 12:42:40,"JavaScript Best Practicies, HTML5 Canvas, SVG, Backbone.js, Angular.js, Ember.js, Node.js, D3.js, Responsive Design",Looking for a Job,<1 years,"$50,000 - $80,000",A Large Non-web company (50+ Employees),"JavaScript, jQuery, Less, HTML5 Canvas, SVG, Backbone.js, Ember.js, Node.js, D3.js, Responsive Design"
5/22/2014 14:35:41,"JavaScript Best Practicies, jQuery, HTML5 Canvas, Responsive Design",Designer,1-2 years,"$50,000 - $80,000",Myself,"Responsive Design, Graphic Design"
5/22/2014 20:57:37,"JavaScript Best Practicies, WebGL, WebRTC, Angular.js, D3.js, Responsive Design",Designer / Developer,,,Myself,"JavaScript, Responsive Design"
5/23/2014 2:25:48,"JavaScript Best Practicies, CoffeeScript, jQuery, HTML5 Canvas, Backbone.js, Angular.js, Ember.js, Node.js, Responsive Design",Designer / Developer,<1 years,"$10,000 - $30,000",Myself,"JavaScript, Python"
5/23/2014 9:08:32,"JavaScript Best Practicies, Ember.js, Node.js, D3.js, Responsive Design",Full-stack Developer,1-2 years,"$80,000 - $100,000",A Large Non-web company (50+ Employees),"JavaScript, jQuery, Backbone.js"
5/23/2014 13:15:20,"jQuery, Sass, LESS, HTML5 Canvas, SVG, Responsive Design",Designer,5+ years,"$50,000 - $80,000",Myself,"jQuery, HTML5 Canvas, Responsive Design"
5/23/2014 15:52:07,"JavaScript Best Practicies, jQuery, Sass, HTML5 Canvas, Angular.js, Node.js, D3.js, Responsive Design",Full-stack Developer,1-2 years,"$50,000 - $80,000",A Non-web company (2-50 Employees),"JavaScript, jQuery, HTML5 Canvas, Responsive Design"
5/23/2014 16:13:46,"JavaScript Best Practicies, CoffeeScript, HTML5 Canvas, Angular.js, Node.js, D3.js",Full-stack Developer,1-2 years,"$130,000+",A Web Startup,"JavaScript, CoffeeScript, jQuery, Sass, Less, SVG, Angular.js, D3.js, stylus, jade"
5/23/2014 16:37:18,"JavaScript Best Practicies, HTML5 Canvas, Angular.js, Ember.js, D3.js, Responsive Design",Full-stack Developer,2-5 years,"$80,000 - $100,000",A Web Consultency,"JavaScript, CoffeeScript, jQuery, Sass, Backbone.js, Ember.js, Responsive Design"
5/24/2014 14:58:36,"JavaScript Best Practicies, jQuery, Sass, HTML5 Canvas, SVG, WebRTC, Backbone.js, Angular.js, Ember.js, Node.js, D3.js, Responsive Design",Full-stack Developer,5+ years,"$80,000 - $100,000",A Large Non-web company (50+ Employees),"JavaScript, jQuery, Sass, Responsive Design"
5/25/2014 11:43:55,"JavaScript Best Practicies, jQuery, Sass, HTML5 Canvas, SVG, Backbone.js, Angular.js, Ember.js, Node.js, Responsive Design",Designer / Developer,5+ years,"$30,000 - $50,000",A Non-web company (2-50 Employees),"JavaScript, jQuery, Less, Responsive Design"
5/25/2014 18:32:58,"JavaScript Best Practicies, jQuery, Sass, LESS, SVG",Looking for a Job,<1 years,"$30,000 - $50,000",,
5/25/2014 21:38:25,"JavaScript Best Practicies, HTML5 Canvas, SVG, WebGL, Angular.js, Responsive Design",Full-stack Developer,2-5 years,"$130,000+",A Large Web Company (50+ Employees),"JavaScript, jQuery, Closure"
5/26/2014 9:31:38,"JavaScript Best Practicies, CoffeeScript, jQuery, Sass, LESS, Backbone.js, Angular.js, Ember.js, Node.js, D3.js, Responsive Design",Front End Developer,2-5 years,"$50,000 - $80,000",A Large Web Company (50+ Employees),"JavaScript, jQuery, Sass, Responsive Design"
5/26/2014 10:31:52,"JavaScript Best Practicies, Sass, Angular.js, Responsive Design",Front End Developer,5+ years,"$80,000 - $100,000",A Large Web Company (50+ Employees),"JavaScript, Sass, Angular.js, Responsive Design, Bootstrap"
5/26/2014 10:50:56,"JavaScript Best Practicies, CoffeeScript, Angular.js",Full-stack Developer,2-5 years,"$50,000 - $80,000",A Web Startup,"JavaScript, CoffeeScript, Sass, HTML5 Canvas, Backbone.js, Angular.js, Responsive Design"
5/26/2014 11:30:59,"JavaScript Best Practicies, WebGL, WebRTC, D3.js",Full-stack Developer,2-5 years,"$80,000 - $100,000",A Large Web Company (50+ Employees),"JavaScript, jQuery, Less, HTML5 Canvas, SVG, Backbone.js, D3.js"
5/26/2014 14:39:42,"JavaScript Best Practicies, jQuery",Designer / Developer,1-2 years,"$50,000 - $80,000",A Large Web Company (50+ Employees),"jQuery, Responsive Design"
5/26/2014 16:17:49,"JavaScript Best Practicies, Node.js",Looking for a Job,<1 years,,,
